Aikaleima,Nimimerkki,Arvo,Kysymys
30.6.2020,123098,5,Paivani sujuu hyvin
30.6.2020,29,4,Paivani sujuu hyvin
30.6.2020,7968,4,Paivani sujuu hyvin
30.6.2020,907,4,Paivani sujuu hyvin
30.6.2020,9253,5,Paivani sujuu hyvin
30.6.2020,1500,3,Paivani sujuu hyvin
30.6.2020,2905,3,Paivani sujuu hyvin
30.6.2020,145789,2,Paivani sujuu hyvin
30.6.2020,21084,2,Paivani sujuu hyvin
30.6.2020,222426,4,Paivani sujuu hyvin
2.7.2020,123098,5,Viihdyn hyvin itsekseni
2.7.2020,7968,5,Viihdyn hyvin itsekseni
2.7.2020,29,5,Viihdyn hyvin itsekseni
2.7.2020,145789,5,Viihdyn hyvin itsekseni
2.7.2020,9253,4,Viihdyn hyvin itsekseni
2.7.2020,907,5,Viihdyn hyvin itsekseni
3.7.2020,222426,5,Viihdyn hyvin itsekseni
3.7.2020,21084,4,Viihdyn hyvin itsekseni
6.7.2020,1500,4,Viihdyn hyvin itsekseni
20.7.2020,34725,3,Viihdyn hyvin itsekseni
2.7.2020,123098,1,Tanaan olen  yksin kotona
2.7.2020,7968,1,Tanaan olen  yksin kotona
2.7.2020,29,5,Tanaan olen  yksin kotona
2.7.2020,145789,5,Tanaan olen  yksin kotona
2.7.2020,9253,1,Tanaan olen  yksin kotona
2.7.2020,907,2,Tanaan olen  yksin kotona
3.7.2020,222426,5,Tanaan olen  yksin kotona
3.7.2020,21084,5,Tanaan olen  yksin kotona
6.7.2020,1500,2,Tanaan olen  yksin kotona
20.7.2020,34725,2,Tanaan olen  yksin kotona
20.7.2020,123098,4,Olen luottavainen tulevaisuuden suhteen
20.7.2020,21084,4,Olen luottavainen tulevaisuuden suhteen
20.7.2020,29,4,Olen luottavainen tulevaisuuden suhteen
20.7.2020,145789,4,Olen luottavainen tulevaisuuden suhteen
20.7.2020,369369,4,Olen luottavainen tulevaisuuden suhteen
20.7.2020,222426,4,Olen luottavainen tulevaisuuden suhteen
20.7.2020,9253,4,Olen luottavainen tulevaisuuden suhteen
20.7.2020,2905,3,Olen luottavainen tulevaisuuden suhteen
20.7.2020,1500,1,Olen luottavainen tulevaisuuden suhteen
20.7.2020,34725,4,Olen luottavainen tulevaisuuden suhteen
20.7.2020,907,2,Olen luottavainen tulevaisuuden suhteen
20.7.2020,290520,4,Olen luottavainen tulevaisuuden suhteen
20.7.2020,123098,4,Minulta liikenee aikaa myos rentoutumiseen
20.7.2020,21084,4,Minulta liikenee aikaa myos rentoutumiseen
20.7.2020,29,5,Minulta liikenee aikaa myos rentoutumiseen
20.7.2020,145789,5,Minulta liikenee aikaa myos rentoutumiseen
20.7.2020,369369,2,Minulta liikenee aikaa myos rentoutumiseen
20.7.2020,222426,5,Minulta liikenee aikaa myos rentoutumiseen
20.7.2020,9253,4,Minulta liikenee aikaa myos rentoutumiseen
20.7.2020,2905,4,Minulta liikenee aikaa myos rentoutumiseen
20.7.2020,1500,3,Minulta liikenee aikaa myos rentoutumiseen
20.7.2020,34725,4,Minulta liikenee aikaa myos rentoutumiseen
20.7.2020,907,2,Minulta liikenee aikaa myos rentoutumiseen
20.7.2020,290520,3,Minulta liikenee aikaa myos rentoutumiseen
